stem,src,tgt,err,rank,n_succ,top1_err,delta_to_top1,review_label,in_chain_review,is_nic_correct,is_ic_correct
identical_balls_trick_000_018,63,66,61.216,2,2,54.876,6.341,wrong,,False,False
identical_balls_trick_000_018,64,68,21.729,1,2,21.729,0.000,correct,True,False,True
identical_balls_trick_000_018,64,69,73.099,2,2,21.729,51.371,wrong,,False,False
identical_balls_trick_000_018,65,69,49.598,1,1,49.598,0.000,wrong,,False,False
identical_balls_trick_000_018,66,69,28.495,1,2,28.495,0.000,correct,,True,False
identical_balls_trick_000_018,66,68,54.016,2,2,28.495,25.521,wrong,,False,False
identical_balls_trick_000_018,67,70,7.111,1,3,7.111,0.000,correct,True,False,True
identical_balls_trick_000_018,67,72,67.077,2,3,7.111,59.966,wrong,,False,False
identical_balls_trick_000_018,67,71,76.754,3,3,7.111,69.643,wrong,,False,False
identical_balls_trick_000_018,68,71,18.509,1,3,18.509,0.000,correct,True,False,True
identical_balls_trick_000_018,68,72,76.795,2,3,18.509,58.287,wrong,,False,False
identical_balls_trick_000_018,68,70,90.506,3,3,18.509,71.997,wrong,,False,False
identical_balls_trick_000_018,70,74,37.222,1,1,37.222,0.000,correct,True,False,True
identical_balls_trick_000_018,72,74,62.174,1,1,62.174,0.000,wrong,,False,False
identical_balls_trick_000_018,73,75,57.705,1,1,57.705,0.000,correct,,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,12.630,1,2,12.630,0.000,wrong,,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,9,16.578,2,2,12.630,3.947,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,8,11.564,1,1,11.564,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,6,9.567,1,1,9.567,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,4,18,7.717,1,1,7.717,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,13,14.915,1,1,14.915,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,28.993,1,1,28.993,0.000,wrong,,False,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,9.858,1,1,9.858,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,8.543,1,1,8.543,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,14.411,1,1,14.411,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,10.732,1,1,10.732,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,16,21,10.173,1,1,10.173,0.000,correct,,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,11.000,1,1,11.000,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,30,14.755,1,1,14.755,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,22,10.313,1,1,10.313,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,6.494,1,1,6.494,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,29,17.224,1,1,17.224,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,8.961,1,1,8.961,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,11.201,1,1,11.201,0.000,correct,,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,33,12.816,1,1,12.816,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,14.346,1,1,14.346,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,27,28,0.583,1,1,0.583,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,32,16.369,1,1,16.369,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,34,9.049,1,1,9.049,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,8.760,1,1,8.760,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,35,12.825,1,1,12.825,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,11.406,1,1,11.406,0.000,correct,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,38,12.856,1,1,12.856,0.000,correct,True,False,True
