stem,source,candidate,gap_frames,label,src_end_frame,cand_start_frame,midgap_frame,phase_key,phase_start,phase_end,phase_verdict,phase_anchor,in_h7v3plus3,edge_type
identical_balls_trick_000_018,43,45,4,correct,626,631,628,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,44,53,5,correct,785,791,788,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,45,46,3,correct,675,679,677,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,45,47,9,wrong,675,685,680,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,47,52,3,correct,771,775,773,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,50,55,0,correct,810,811,810,,,,,UNANCHORED,True,BALLISTIC
identical_balls_trick_000_018,50,56,3,correct,810,814,812,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,51,52,4,correct,770,775,772,,,,,UNANCHORED,True,V_RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,52,53,5,wrong,785,791,788,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,53,58,10,correct,844,855,849,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,54,57,3,correct,835,839,837,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,56,57,4,wrong,834,839,836,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,57,63,4,wrong,885,890,887,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,59,61,8,correct,874,883,878,,,,,UNANCHORED,True,H26_RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,59,62,10,wrong,874,885,879,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,60,64,2,correct,941,944,942,,,,,UNANCHORED,True,BALLISTIC
identical_balls_trick_000_018,62,66,3,correct,953,957,955,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,62,65,2,wrong,953,956,954,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,63,66,6,wrong,950,957,953,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,63,65,5,correct,950,956,953,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,64,68,0,correct,969,970,969,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
identical_balls_trick_000_018,64,69,7,wrong,969,977,973,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,65,69,1,wrong,975,977,976,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,66,69,7,correct,969,977,973,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,66,68,0,wrong,969,970,969,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,67,70,3,correct,1025,1029,1027,,,,,UNANCHORED,True,BALLISTIC
identical_balls_trick_000_018,67,72,3,wrong,1025,1029,1027,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,67,71,3,wrong,1025,1029,1027,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,68,71,8,correct,1020,1029,1024,,,,,UNANCHORED,True,HAND_TRANSITION
identical_balls_trick_000_018,68,72,8,wrong,1020,1029,1024,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,68,70,8,wrong,1020,1029,1024,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,70,74,0,correct,1055,1056,1055,,,,,UNANCHORED,True,HAND_TRANSITION
identical_balls_trick_000_018,72,74,0,wrong,1055,1056,1055,,,,,UNANCHORED,False,NOT_IN_CHAIN
identical_balls_trick_000_018,73,75,4,correct,1065,1070,1067,,,,,UNANCHORED,False,NOT_IN_CHAIN
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,9,6,correct,107,114,110,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,9,wrong,107,117,112,,,,,UNANCHORED,False,NOT_IN_CHAIN
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,8,5,correct,77,83,80,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,6,6,correct,27,34,30,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_2_71,2,71,STATIC_HOLD,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,4,18,3,correct,416,420,418,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,13,5,correct,261,267,264,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,5,wrong,241,247,244,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_114_255,114,255,JUGGLING,ANCHORED,False,NOT_IN_CHAIN
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,3,correct,304,308,306,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,8,correct,330,339,334,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_308_338,308,338,JUGGLING,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,1,correct,379,381,380,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_375_410,375,410,JUGGLING,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,5,correct,600,606,603,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_595_643,595,643,JUGGLING,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,16,21,8,correct,473,482,477,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,420,481,JUGGLING,ANCHORED,False,NOT_IN_CHAIN
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,5,correct,585,591,588,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,482,594,STATIC_HOLD,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,30,1,correct,713,715,714,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,22,6,correct,503,510,506,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,482,594,STATIC_HOLD,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,8,correct,473,482,477,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_420_481,420,481,JUGGLING,ANCHORED,True,H22_RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,29,2,correct,698,701,699,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,6,correct,649,656,652,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,9,correct,581,591,586,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_482_594,482,594,STATIC_HOLD,ANCHORED,False,NOT_IN_CHAIN
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,33,0,correct,754,755,754,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,8,correct,722,731,726,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,27,28,4,correct,673,678,675,,,,,UNANCHORED,True,V_RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,32,0,correct,742,743,742,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,34,2,correct,766,769,767,,,,,UNANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,3,correct,850,854,852,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,800,861,JUGGLING,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,35,5,correct,794,800,797,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_769_799,769,799,JUGGLING,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,4,correct,820,825,822,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_800_861,800,861,JUGGLING,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,38,2,correct,866,869,867,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090_862_899,862,899,JUGGLING,ANCHORED,True,RECLASSIFIED_HAND_TRANSITION
