video,stem,src,cand,label,src_hand_slope,cand_hand_slope,src_end_hand_dist,cand_start_hand_dist,src_side,cand_side
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,12,17,correct,-8.074501198234117,-2.835934141763368,34.62244960228593,60.21519772195822,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,12,16,wrong,-8.074501198234117,21.23065473755109,34.62244960228593,131.07058534072777,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,14,19,correct,-16.652483481187403,-3.1708874073181135,52.6939094066194,68.91960272432121,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,14,18,wrong,-16.652483481187403,3.665852669637766,52.6939094066194,288.7957946983089,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,15,17,wrong,-6.450055741809138,-2.835934141763368,38.268488584770715,60.21519772195822,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,15,16,correct,-6.450055741809138,21.23065473755109,38.268488584770715,131.07058534072777,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,16,19,wrong,16.253756215975265,-3.1708874073181135,303.3874722013481,68.91960272432121,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,17,22,correct,-3.950677069717926,18.45788412557984,20.948287213866717,297.2302685781125,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,18,21,wrong,-6.106721290936973,,32.76987004307327,88.12562561716791,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,18,22,wrong,-6.106721290936973,18.45788412557984,32.76987004307327,297.2302685781125,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,19,20,correct,19.62889507354032,-29.01592021988311,497.1875851165351,471.90557694193063,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,20,22,wrong,-34.2228401762071,18.45788412557984,278.09900496336826,297.2302685781125,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,21,22,correct,,18.45788412557984,112.63798254659241,297.2302685781125,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,22,27,wrong,-7.8382089674333235,-1.0489396960736452,46.68557498361139,56.24867237037142,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,23,25,correct,8.039892014590837,-9.89984616337634,76.7748380778587,83.23246241062529,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,25,27,correct,-0.04964981229911115,-1.0489396960736452,64.90142237443588,56.24867237037142,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,25,26,wrong,-0.04964981229911115,0.8618171562926861,64.90142237443588,42.2826406323218,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,28,29,correct,-0.182802797380057,-0.7279791769712305,332.26562321954685,326.96543281512095,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,29,34,correct,-5.136174734669238,,47.50695027732022,31.906488415411335,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,30,33,correct,1.2274563437128856,-2.439522345339158,57.474436848762764,71.36906806742107,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,36,correct,-4.075174638879485,-10.358814826044545,468.65531939625555,406.95141262945447,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,38,wrong,-4.075174638879485,,468.65531939625555,27.203827835702313,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,37,wrong,-4.075174638879485,,468.65531939625555,29.137203016212705,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,37,correct,-2.3081838537149655,,19.158900668622213,29.137203016212705,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,38,wrong,-2.3081838537149655,,19.158900668622213,27.203827835702313,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,36,wrong,-2.3081838537149655,-10.358814826044545,19.158900668622213,406.95141262945447,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,36,41,wrong,1.0173888462793197,-0.1882618601429347,99.14479600357681,50.8549424775437,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,37,40,correct,,3.9471063586893234,31.76440114423685,93.97208618852692,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,37,39,wrong,,4.596115827510018,31.76440114423685,62.73337977988588,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,38,39,correct,,4.596115827510018,28.168917941634415,62.73337977988588,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,38,40,wrong,,3.9471063586893234,28.168917941634415,93.97208618852692,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,47,correct,-7.041543283941345,-8.051173401694385,174.10069052886558,109.20122515843411,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,48,wrong,-7.041543283941345,1.158807146542234,174.10069052886558,508.8714759169466,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,41,correct,-1.3924643832602255,-0.1882618601429347,62.992872246854986,50.8549424775437,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,42,wrong,-1.3924643832602255,0.5843506024054231,62.992872246854986,40.047549209984055,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,41,43,correct,-0.20198337333976726,,45.22945907718631,48.92904743971057,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,41,44,wrong,-0.20198337333976726,0.3139547594381785,45.22945907718631,66.10986831880055,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,43,45,correct,,1.7179644403316179,49.25791565581563,60.85717590016428,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,44,53,correct,-7.436065933168881,-0.898221076298835,32.19794756651496,69.51095781844413,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,45,46,correct,-0.9655074542808412,2.31258175764463,81.88809640458229,89.36030750362261,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,45,47,wrong,-0.9655074542808412,-8.051173401694385,81.88809640458229,109.20122515843411,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,47,52,correct,2.733128560816526,-11.228085143825085,30.50561311532069,94.23632167692294,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,50,55,correct,-21.132753580785,,258.7431330373545,90.01725778664945,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,50,56,correct,-21.132753580785,-0.1992326165912313,258.7431330373545,12.71045262886175,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,51,52,correct,,-11.228085143825085,27.62030683369805,94.23632167692294,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,52,53,wrong,-12.176805993345436,-0.898221076298835,40.47955436017528,69.51095781844413,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,53,58,correct,-24.62186049453255,,56.966929454270876,58.710448151841234,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,54,57,correct,-8.957664950262929,24.741317193867648,9.6076926023666,202.48078683566806,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,56,57,wrong,-12.577628166392703,24.741317193867648,7.011543860999376,202.48078683566806,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,57,63,wrong,4.260285005774266,21.359251533331935,64.06948308297423,37.240809025359944,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,61,correct,-6.071303396735594,-11.555925924374446,46.08182330009366,31.318603267450854,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,62,wrong,-6.071303396735594,16.915478160586012,46.08182330009366,1.777815841618029,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,60,64,correct,13.063577476286566,-26.269008966997596,436.1103363784377,384.3539056668538,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,62,66,correct,-4.907793922166989,-4.080424524288038,22.19366933801556,56.26245648463256,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,62,65,wrong,-4.907793922166989,23.081612915530247,22.19366933801556,98.21830309623623,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,63,66,wrong,12.897007461372862,-4.080424524288038,63.06248546531737,56.26245648463256,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,63,65,correct,12.897007461372862,23.081612915530247,63.06248546531737,98.21830309623623,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,64,68,correct,7.979542508319233,2.4817552408663266,59.03456595607041,36.22556619591669,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,64,69,wrong,7.979542508319233,-11.58657121004504,59.03456595607041,75.57054422533311,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,65,69,wrong,1.9713836469030785,-11.58657121004504,242.74394823747852,75.57054422533311,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,66,69,correct,-2.895437392499878,-11.58657121004504,32.645271391424835,75.57054422533311,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,66,68,wrong,-2.895437392499878,2.4817552408663266,32.645271391424835,36.22556619591669,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,67,70,correct,8.111512100512622,-18.3088117307081,272.55935061757447,197.04545025688054,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,67,72,wrong,8.111512100512622,21.581707537282643,272.55935061757447,16.95309198063061,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,67,71,wrong,8.111512100512622,18.081411701466934,272.55935061757447,18.588657596247398,left,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,68,71,correct,-22.00405314459901,18.081411701466934,12.15669979322454,18.588657596247398,right,right
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,68,72,wrong,-22.00405314459901,21.581707537282643,12.15669979322454,16.95309198063061,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,68,70,wrong,-22.00405314459901,-18.3088117307081,12.15669979322454,197.04545025688054,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,70,74,correct,-11.774734149159503,20.33954821658611,33.93614184091884,101.83645191970552,left,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,72,74,wrong,-7.877360103619251,20.33954821658611,53.17489471271093,101.83645191970552,right,left
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,73,75,correct,-12.761499121610266,-5.5445437672832325,34.05494988853239,71.04912065663915,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,9,correct,-11.656926379449022,-1.01488649530076,28.956681274652798,10.084797686273406,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,wrong,-11.656926379449022,6.826599308653678,28.956681274652798,117.13577042706812,left,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,8,correct,0.9203443754607888,11.375267206489543,8.157191437077154,38.171931853872536,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,6,correct,0.9450553272295525,4.63650752767412,9.763107885205132,5.619143212807548,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,4,18,correct,-0.12002823715874067,6.05685805854778,6.847735565643056,10.378414683284596,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,13,correct,1.7490063924852677,11.889410620620206,13.470980412861755,18.698274919365343,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,wrong,-4.845657096522147,11.918866527265774,2.2351707808635375,120.70676945703343,right,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,11,14,correct,0.5067172368093797,10.757897148181904,12.412364579429605,13.48969930050436,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,13,16,correct,1.5358866687845163,11.720941035503172,16.218833652072526,21.722992240569777,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,14,17,correct,2.147832687967287,11.312648238320904,17.73285297392519,21.670876971296217,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,correct,-2.075987761484203,8.7733697163969,6.629594034463681,4.986499727962547,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,16,21,correct,0.4173733486135168,10.346151537462497,7.834188418536918,35.3408171234832,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,correct,-4.905633627338133,5.280106764651829,6.743432339884093,13.8673933669482,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,18,30,correct,2.320880545466237,13.246603155759372,27.49025780162715,34.95906429111505,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,19,22,correct,1.816785342885743,10.520669263340983,12.887650342716858,34.4961962152245,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,correct,-0.25165429697217573,10.346151537462497,5.555559873149168,35.3408171234832,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,21,29,correct,1.789806072028821,13.0307082214967,18.787860062580535,32.85115498050204,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,22,26,correct,-0.2885617275771155,12.320007032931228,10.575363913353048,33.65848575514238,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,correct,,5.280106764651829,17.70295106471055,13.8673933669482,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,25,33,correct,3.133950688171588,10.322524823389418,21.96631754504705,11.523814660120436,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,26,31,correct,0.9436305556467548,14.34940286925734,11.719910622103306,50.18684873915527,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,27,28,correct,,12.316002472246508,16.479160259628323,108.05848524557804,left,left
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,28,32,correct,1.7908634964769858,14.12550635566994,20.370515282865526,30.037699321613303,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,29,34,correct,-0.07995262427101474,9.056413893072108,13.574349639010915,4.446916555074506,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,30,37,correct,1.093909686449056,10.982075258600737,14.066188249603844,12.36587563155418,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,31,35,correct,1.8142999193202989,11.20368751829882,16.106288434642313,23.30141783245269,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,33,36,correct,2.934698771377241,10.37919375568386,24.95127578247862,10.112446218531796,right,right
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,35,38,correct,2.336812054729262,11.956167691251775,23.136058218813755,16.760227631563843,left,left
