video,source_tracklet,candidate_tracklet,rank,gap_frames,prediction_error,trajectory_fit_error,source_end_hand_distance,candidate_start_hand_distance,gap_hand_distance,nearest_hand_distance,nearest_hand,nearest_hand_frame,label
videos/identical_balls_trick_000_018.mp4,20,22,1,6,283.373597,37.422256,171.499164,299.163148,180.523103,171.499164,right,213,wrong
videos/identical_balls_trick_000_018.mp4,21,22,1,2,70.582141,14.220890,178.553395,299.163148,217.593065,178.553395,right,217,correct
videos/identical_balls_trick_000_018.mp4,22,27,1,5,149.010697,11.985217,18.763693,58.114586,24.568699,18.763693,right,257,wrong
videos/identical_balls_trick_000_018.mp4,23,25,1,2,89.171723,15.169426,43.977366,86.989598,42.562770,42.562770,left,241,correct
videos/identical_balls_trick_000_018.mp4,25,27,1,6,109.135584,11.508766,77.737789,58.114586,59.379670,58.114586,right,263,correct
videos/identical_balls_trick_000_018.mp4,25,26,2,0,155.808292,39.323634,77.737789,44.718783,,44.718783,left,257,wrong
videos/identical_balls_trick_000_018.mp4,28,29,1,3,3.654163,0.535923,331.907671,326.965433,328.771757,326.965433,right,391,correct
videos/identical_balls_trick_000_018.mp4,29,34,1,5,27.429865,2.820122,26.983719,37.239194,16.710568,16.710568,left,468,correct
videos/identical_balls_trick_000_018.mp4,30,33,1,5,7.004908,2.488895,63.540850,79.900402,67.528645,63.540850,left,455,correct
videos/identical_balls_trick_000_018.mp4,31,36,1,5,13.207599,1.661566,450.293855,407.029913,416.289427,407.029913,right,533,correct
videos/identical_balls_trick_000_018.mp4,31,38,2,5,423.933957,65.315694,450.293855,31.534216,78.244567,31.534216,right,533,wrong
videos/identical_balls_trick_000_018.mp4,31,37,3,5,437.032421,68.711164,450.293855,33.266527,106.501645,33.266527,left,533,wrong
videos/identical_balls_trick_000_018.mp4,35,37,1,5,13.665632,2.344729,15.272481,33.266527,13.039547,13.039547,left,528,correct
videos/identical_balls_trick_000_018.mp4,35,38,2,5,107.654066,19.241389,15.272481,31.534216,6.985168,6.985168,left,528,wrong
videos/identical_balls_trick_000_018.mp4,35,36,3,5,439.032820,82.650045,15.272481,407.029913,63.855723,15.272481,left,527,wrong
videos/identical_balls_trick_000_018.mp4,36,41,1,9,256.456305,31.388333,88.467684,53.127425,9.731695,9.731695,right,588,wrong
videos/identical_balls_trick_000_018.mp4,37,40,1,10,46.571051,3.976497,36.783412,94.487728,40.686258,36.783412,left,538,correct
videos/identical_balls_trick_000_018.mp4,37,39,2,6,111.551000,16.946509,36.783412,66.148494,41.239286,36.783412,left,538,wrong
videos/identical_balls_trick_000_018.mp4,38,39,1,6,57.366993,5.792673,28.976188,66.148494,31.333949,28.976188,right,538,correct
videos/identical_balls_trick_000_018.mp4,38,40,2,10,80.551361,12.906510,28.976188,94.487728,36.392226,28.976188,right,538,wrong
videos/identical_balls_trick_000_018.mp4,39,47,1,3,14.709662,1.954722,146.913934,112.122628,119.171475,112.122628,left,685,correct
videos/identical_balls_trick_000_018.mp4,39,48,2,9,624.476255,93.355983,146.913934,510.929900,101.977946,101.977946,left,683,wrong
videos/identical_balls_trick_000_018.mp4,40,41,1,3,7.527880,1.487353,56.537112,53.127425,53.564153,53.127425,right,591,correct
videos/identical_balls_trick_000_018.mp4,40,42,2,5,222.707800,38.198071,56.537112,41.336762,19.224603,19.224603,right,588,wrong
videos/identical_balls_trick_000_018.mp4,41,43,1,7,9.009177,1.508575,44.964311,49.248393,45.834316,44.964311,right,613,correct
videos/identical_balls_trick_000_018.mp4,41,44,2,9,279.241266,41.549935,44.964311,67.705942,19.681244,19.681244,right,615,wrong
videos/identical_balls_trick_000_018.mp4,43,45,1,4,6.349576,1.197573,51.946974,65.195075,55.723898,51.946974,right,626,correct
videos/identical_balls_trick_000_018.mp4,44,53,1,5,393.605215,39.910116,194.920997,74.146835,88.402819,74.146835,left,791,correct
videos/identical_balls_trick_000_018.mp4,45,46,1,3,8.481010,1.216354,86.174562,91.999291,88.436438,86.174562,left,675,correct
videos/identical_balls_trick_000_018.mp4,45,47,2,9,182.171113,30.784096,86.174562,112.122628,54.161126,54.161126,left,679,wrong
videos/identical_balls_trick_000_018.mp4,47,52,1,3,25.073314,7.432373,56.984955,98.575756,68.168742,56.984955,left,771,correct
videos/identical_balls_trick_000_018.mp4,50,55,1,0,90.852687,18.751154,200.229504,103.369369,,103.369369,left,811,correct
videos/identical_balls_trick_000_018.mp4,50,56,2,3,157.394301,32.159569,200.229504,43.568672,86.073036,43.568672,left,814,correct
videos/identical_balls_trick_000_018.mp4,51,52,1,4,59.258427,8.960130,31.808857,98.575756,47.310750,31.808857,left,770,correct
videos/identical_balls_trick_000_018.mp4,52,53,1,5,358.010666,74.157045,41.867095,74.146835,29.652831,29.652831,left,790,wrong
videos/identical_balls_trick_000_018.mp4,53,58,1,10,487.539599,28.970413,89.728498,64.086285,45.541492,45.541492,left,850,correct
videos/identical_balls_trick_000_018.mp4,54,57,1,3,119.945574,24.483438,32.859250,217.721182,75.561168,32.859250,right,835,correct
videos/identical_balls_trick_000_018.mp4,56,57,1,4,256.470427,43.334489,48.907939,217.721182,104.535433,48.907939,left,834,wrong
videos/identical_balls_trick_000_018.mp4,57,63,1,4,669.978035,99.078060,336.558150,62.515395,40.092633,40.092633,right,889,wrong
videos/identical_balls_trick_000_018.mp4,59,61,1,8,210.937636,14.619888,47.835702,60.951967,28.064864,28.064864,right,879,correct
videos/identical_balls_trick_000_018.mp4,59,62,2,10,357.070626,20.796188,47.835702,12.523027,18.323229,12.523027,left,885,wrong
videos/identical_balls_trick_000_018.mp4,60,64,1,2,112.144531,14.527848,504.237865,390.342078,427.685347,390.342078,right,944,correct
videos/identical_balls_trick_000_018.mp4,62,66,1,3,80.112119,17.044074,89.124436,60.224838,66.661641,60.224838,left,957,correct
videos/identical_balls_trick_000_018.mp4,62,65,2,2,121.984475,28.821897,89.124436,101.557812,88.740877,88.740877,left,955,wrong
videos/identical_balls_trick_000_018.mp4,63,66,1,6,362.333129,51.190725,161.752347,60.224838,12.681800,12.681800,left,955,wrong
videos/identical_balls_trick_000_018.mp4,63,65,2,5,370.612723,52.676112,161.752347,101.557812,39.895231,39.895231,left,954,correct
videos/identical_balls_trick_000_018.mp4,64,68,1,0,144.702691,32.221759,177.837991,66.049349,,66.049349,right,970,correct
videos/identical_balls_trick_000_018.mp4,64,69,2,7,409.525993,63.072697,177.837991,75.761123,82.332572,75.761123,left,977,wrong
videos/identical_balls_trick_000_018.mp4,65,69,1,1,257.553185,62.474686,254.821543,75.761123,139.175995,75.761123,left,977,wrong
videos/identical_balls_trick_000_018.mp4,66,69,1,7,177.494931,33.909073,46.721807,75.761123,29.732500,29.732500,left,971,correct
videos/identical_balls_trick_000_018.mp4,66,68,2,0,261.144339,69.484567,46.721807,66.049349,,46.721807,left,969,wrong
videos/identical_balls_trick_000_018.mp4,67,70,1,3,128.812961,14.871195,310.673883,205.763194,232.737755,205.763194,left,1029,correct
videos/identical_balls_trick_000_018.mp4,67,72,2,3,308.336286,73.624694,310.673883,26.136932,96.106041,26.136932,left,1029,wrong
videos/identical_balls_trick_000_018.mp4,67,71,3,3,393.987259,86.045725,310.673883,22.607610,97.091884,22.607610,right,1029,wrong
videos/identical_balls_trick_000_018.mp4,68,71,1,8,491.911207,38.626366,144.803346,22.607610,34.746491,22.607610,right,1029,correct
videos/identical_balls_trick_000_018.mp4,68,72,2,8,596.642255,94.534185,144.803346,26.136932,37.650708,26.136932,left,1029,wrong
videos/identical_balls_trick_000_018.mp4,68,70,3,8,750.906382,108.439702,144.803346,205.763194,43.715882,43.715882,right,1023,wrong
videos/identical_balls_trick_000_018.mp4,70,74,1,0,115.332213,30.032203,22.213590,106.585863,,22.213590,left,1055,correct
videos/identical_balls_trick_000_018.mp4,72,74,1,0,263.430342,67.634756,47.996159,106.585863,,47.996159,right,1055,wrong
videos/identical_balls_trick_000_018.mp4,73,75,1,4,198.741681,71.106459,122.295176,72.873221,76.124460,72.873221,left,1070,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,9,1,6,40.659569,10.084625,8.187321,10.084798,2.726201,2.726201,left,112,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,1,10,2,9,238.416314,22.484961,8.187321,123.798394,26.654275,8.187321,left,107,wrong
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,8,1,5,161.410456,19.367558,54.826377,38.509588,8.839860,8.839860,right,80,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,6,1,6,104.975591,8.287566,31.638299,10.635327,4.659649,4.659649,left,33,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,18,1,3,82.626253,9.445557,44.360107,12.370704,19.026817,12.370704,right,420,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,9,13,1,5,171.057223,21.350311,66.864135,25.119046,3.506962,3.506962,left,264,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,10,11,1,5,271.209217,40.672661,31.445080,126.533629,6.449551,6.449551,right,242,wrong
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,11,14,1,3,119.143935,17.983371,58.587492,16.697538,14.568732,14.568732,right,307,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,13,16,1,8,164.535610,12.803364,36.651430,28.424510,2.550659,2.550659,right,335,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,14,17,1,1,83.763378,17.669612,39.465334,28.159079,17.309727,17.309727,left,380,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,15,25,1,5,92.359045,8.495495,30.101565,10.474755,10.326863,10.326863,left,605,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,16,21,1,8,194.413892,15.652803,49.282673,35.340817,5.406445,5.406445,right,478,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,17,24,1,5,78.399453,7.258761,26.963866,20.410563,17.651755,17.651755,right,588,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,18,30,1,1,96.266153,19.517997,56.727336,35.303429,21.833929,21.833929,right,714,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,19,22,1,6,166.813603,17.846956,49.941660,34.496196,8.058926,8.058926,right,507,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,20,21,1,8,139.183614,10.691594,21.549906,35.340817,2.473143,2.473143,right,476,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,21,29,1,2,113.588933,20.701790,60.605767,35.059558,15.602421,15.602421,left,700,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,22,26,1,6,161.590726,17.145463,51.496247,35.294460,5.371684,5.371684,right,653,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,23,24,1,9,36.875325,10.040695,33.357163,20.410563,7.072360,7.072360,right,589,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,25,33,1,0,100.107580,22.922309,75.859852,14.379970,,14.379970,left,755,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,26,31,1,8,210.341113,21.295610,52.484805,50.741907,9.559266,9.559266,left,725,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,27,28,1,4,68.508623,6.992813,23.669298,113.006061,35.230893,23.669298,left,673,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,28,32,1,0,67.083823,17.855639,46.605599,35.091516,,35.091516,right,743,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,29,34,1,2,81.708283,11.550696,55.975457,9.899436,21.823353,9.899436,right,769,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,30,37,1,3,105.333452,14.183150,52.388672,12.365876,10.476693,10.476693,right,853,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,31,35,1,5,162.260696,18.409638,56.668364,24.532189,7.269105,7.269105,right,798,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,33,36,1,4,98.136715,11.662630,41.929658,10.112446,12.512661,10.112446,right,825,correct
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,35,38,1,2,113.144917,20.151157,59.495481,24.024549,9.970547,9.970547,left,868,correct
